New York Knicks Starting Lineup:
PG: Jalen Brunson
SG: RJ Barrett 
SF: Julius Randle
PF: Obi Toppin
C: Mitchell Robinson

New Orleans Pelicans Expected Starting Lineup:  
PG: CJ McCollum
SG: Brandon Ingram
SF: Herbert Jones
PF: Zion Williamson  
C: Jonas Valanciunas

Period,Time,Team,Event Type,Player 1,Player 2,Description,Score
4,6:39,NYK,Turnover,Miles McBride,,Lost ball out of bounds,124-84
4,6:33,NOP,2pt Made,Kira Lewis Jr.,,Driving layup scores,124-86
4,6:19,NYK,2pt Made,Obi Toppin,,Cutting dunk made,126-86
4,6:04,NOP,3pt Missed,Garrett Temple,,Corner three too strong,126-86
4,6:01,NYK,Defensive Rebound,Trevor Keels,,Rebound gathered,126-86
4,5:56,NYK,2pt Missed,Immanuel Quickley,,Pullup jumper off front rim,126-86
4,5:53,NOP,Defensive Rebound,Dereon Seabron,,Rebound collected,126-86
4,5:48,NOP,Turnover,Dereon Seabron,,Lost ball out of bounds,126-86
4,5:42,NYK,Substitution,Feron Hunt,Obi Toppin,Toppin subbed out,126-86
4,5:38,NYK,3pt Missed,Trevor Keels,,Step back three misses,126-86
4,5:35,NOP,Defensive Rebound,Jaxson Hayes,,Rebound secured,126-86
4,5:30,NOP,2pt Made,Jaxson Hayes,,Driving dunk made,126-88
4,5:15,NYK,2pt Made,Feron Hunt,,Cutting layup scores,128-88
4,4:59,NOP,3pt Made,Kira Lewis Jr.,,Catch and shoot three,128-91
4,4:45,NYK,3pt Missed,Miles McBride,,Pullup three bounces out,128-91
4,4:42,NOP,Defensive Rebound,Naji Marshall,,Rebound gathered,128-91
4,4:37,NOP,2pt Made,Dereon Seabron,,Driving layup made,128-93
4,4:23,NYK,2pt Made,Jericho Sims,,Putback layup scores,130-93
4,4:07,NOP,Turnover,Garrett Temple,,Bad pass intercepted,130-93
4,4:04,NYK,Steal,Trevor Keels,,Picked off pass,130-93
4,4:00,NYK,2pt Made,Miles McBride,,Fast break layup made,132-93
4,4:00,NOP,Timeout,,,Full timeout called,132-93
4,3:50,NOP,2pt Missed,Kira Lewis Jr.,,Driving layup blocked,132-93
4,3:48,NYK,Block,Jericho Sims,,Shot blocked,132-93
4,3:44,NYK,Defensive Rebound,Trevor Keels,,Rebound collected,132-93
4,3:39,NYK,Turnover,Trevor Keels,,Lost ball out of bounds,132-93
4,3:34,NOP,2pt Missed,Jaxson Hayes,,Jump hook misses,132-93
4,3:31,NYK,Defensive Rebound,Feron Hunt,,Rebound secured,132-93
4,3:27,NYK,Substitution,DaQuan Jeffries,Miles McBride,McBride subbed out,132-93
4,3:22,NYK,2pt Made,Jericho Sims,,Alley-oop dunk made,134-93
4,3:07,NOP,3pt Missed,Naji Marshall,,Catch and shoot three off target,134-93
4,3:04,NYK,Defensive Rebound,Feron Hunt,,Rebound gathered,134-93
4,2:59,NYK,2pt Made,DaQuan Jeffries,,Cutting layup scores,136-93
4,2:44,NOP,2pt Missed,Kira Lewis Jr.,,Driving layup blocked,136-93
4,2:42,NYK,Block,Jericho Sims,,Shot blocked,136-93
4,2:38,NYK,Defensive Rebound,DaQuan Jeffries,,Rebound collected,136-93
4,2:34,NYK,2pt Made,Feron Hunt,,Running dunk made,138-93
4,2:19,NOP,2pt Missed,Dereon Seabron,,Turnaround jumper misses,138-93
4,2:16,NYK,Defensive Rebound,Jericho Sims,,Rebound secured,138-93
4,2:11,NYK,3pt Made,Trevor Keels,,Catch and shoot three,141-93
4,1:55,NOP,Turnover,Garrett Temple,,Bad pass stolen,141-93
4,1:52,NYK,Steal,Trevor Keels,,Picked off pass,141-93
4,1:48,NYK,Turnover,Trevor Keels,,Lost ball out of bounds,141-93
4,1:43,NOP,2pt Made,Kira Lewis Jr.,,Driving layup made,141-95
4,1:28,NYK,2pt Made,DaQuan Jeffries,,Cutting layup scores,143-95
4,1:13,NOP,2pt Missed,Naji Marshall,,Driving layup blocked,143-95
4,1:11,NYK,Block,Feron Hunt,,Shot blocked,143-95
4,1:07,NYK,Defensive Rebound,Trevor Keels,,Rebound collected,143-95
4,1:02,NYK,3pt Missed,Immanuel Quickley,,Pullup three off back rim,143-95
4,0:59,NOP,Defensive Rebound,Dereon Seabron,,Rebound secured,143-95
4,0:54,NOP,2pt Made,Kira Lewis Jr.,,Running jump shot made,143-97
4,0:40,NYK,2pt Made,Jericho Sims,,Putback dunk scores,145-97
4,0:25,NOP,3pt Missed,Dereon Seabron,,Step back three too strong,145-97
4,0:22,NYK,Defensive Rebound,DaQuan Jeffries,,Rebound gathered,145-97
4,0:18,NYK,Turnover,DaQuan Jeffries,,Bad pass out of bounds,145-97
4,0:12,NOP,2pt Missed,Jaxson Hayes,,Alley-oop dunk missed,145-97
4,0:09,NYK,Defensive Rebound,DaQuan Jeffries,,Rebound collected,145-97
4,0:05,NYK,Turnover,DaQuan Jeffries,,Lost ball out of bounds,145-97
4,0:00,,,,,,145-97
