index ,eventmsgtype     ,period ,pctimestring ,homedescription                                                ,neutraldescription ,visitordescription                                    ,score     ,scoremargin ,player1_name            ,player1_team_abbreviation ,player2_name            ,player2_team_abbreviation ,player3_name     ,player3_team_abbreviation
  133 ,REBOUND          ,     2 ,4:25         ,                                                               ,                   ,Poole REBOUND (Off:0 Def:1)                           ,          ,            ,Jordan Poole            ,GSW                       ,                        ,                          ,                 ,
  134 ,3POINT           ,     2 ,4:17         ,                                                               ,                   ,Poole 26' 3PT Jump Shot (11 PTS)                      ,62 - 57   ,-5          ,Jordan Poole            ,GSW                       ,                        ,                          ,                 ,
  135 ,2POINT           ,     2 ,4:03         ,Mann 21' Pullup Jump Shot (9 PTS)                              ,                   ,                                                      ,62 - 59   ,-3          ,Tre Mann                ,OKC                       ,                        ,                          ,                 ,
  136 ,TURNOVER         ,     2 ,3:45         ,                                                               ,                   ,Poole Bad Pass Turnover (P2.T7)                       ,          ,            ,Jordan Poole            ,GSW                       ,                        ,                          ,                 ,
  137 ,STEAL            ,     2 ,3:43         ,Bazley STEAL (1 STL)                                           ,                   ,                                                      ,          ,            ,Darius Bazley           ,OKC                       ,                        ,                          ,                 ,
  138 ,FOUL             ,     2 ,3:41         ,                                                               ,                   ,Green P.FOUL (P1.T3) (M.Lindsay)                      ,          ,            ,Draymond Green          ,GSW                       ,Darius Bazley           ,OKC                       ,                 ,
  139 ,FTMAKE           ,     2 ,3:41         ,Bazley Free Throw 1 of 2 (5 PTS)                               ,                   ,                                                      ,62 - 60   ,-2          ,Darius Bazley           ,OKC                       ,                        ,                          ,                 ,
  140 ,FTMISS           ,     2 ,3:41         ,MISS Bazley Free Throw 2 of 2                                  ,                   ,                                                      ,          ,            ,Darius Bazley           ,OKC                       ,                        ,                          ,                 ,
  141 ,REBOUND          ,     2 ,3:38         ,                                                               ,                   ,Looney REBOUND (Off:0 Def:4)                          ,          ,            ,Kevon Looney            ,GSW                       ,                        ,                          ,                 ,
  142 ,2POINT           ,     2 ,3:26         ,                                                               ,                   ,Thompson 16' Pullup Jump Shot (14 PTS)                ,64 - 60   ,-4          ,Klay Thompson           ,GSW                       ,                        ,                          ,                 ,
  143 ,3POINTMISS       ,     2 ,3:08         ,MISS Jerome 25' 3PT Jump Shot                                  ,                   ,                                                      ,          ,            ,Ty Jerome               ,OKC                       ,                        ,                          ,                 ,
  144 ,REBOUND          ,     2 ,3:06         ,                                                               ,                   ,Looney REBOUND (Off:0 Def:5)                          ,          ,            ,Kevon Looney            ,GSW                       ,                        ,                          ,                 ,
  145 ,TURNOVER         ,     2 ,2:56         ,                                                               ,                   ,Green Bad Pass Turnover (P1.T8)                       ,          ,            ,Draymond Green          ,GSW                       ,                        ,                          ,                 ,
  146 ,STEAL            ,     2 ,2:54         ,Bazley STEAL (2 STL)                                           ,                   ,                                                      ,          ,            ,Darius Bazley           ,OKC                       ,                        ,                          ,                 ,
  147 ,2POINTMISS       ,     2 ,2:49         ,MISS Mann 4' Running Layup                                     ,                   ,                                                      ,          ,            ,Tre Mann                ,OKC                       ,                        ,                          ,                 ,
  148 ,REBOUND          ,     2 ,2:47         ,                                                               ,                   ,Poole REBOUND (Off:0 Def:2)                           ,          ,            ,Jordan Poole            ,GSW                       ,                        ,                          ,                 ,
  149 ,3POINT           ,     2 ,2:42         ,                                                               ,                   ,Poole 27' 3PT Jump Shot (14 PTS)                      ,67 - 60   ,-7          ,Jordan Poole            ,GSW                       ,                        ,                          ,                 ,
  150 ,TIMEOUT          ,     2 ,2:36         ,Thunder Timeout: Regular (Reg.5 Short 0)                       ,                   ,                                                      ,          ,            ,                        ,                          ,                        ,                          ,                 ,
  151 ,2POINT           ,     2 ,2:22         ,Bazley 17' Pullup Jump Shot (7 PTS)                            ,                   ,                                                      ,67 - 62   ,-5          ,Darius Bazley           ,OKC                       ,                        ,                          ,                 ,
  152 ,FOUL             ,     2 ,2:08         ,                                                               ,                   ,Green P.FOUL (P2.T4) (J.Capers)                       ,          ,            ,Draymond Green          ,GSW                       ,Tre Mann                ,OKC                       ,                 ,
  153 ,FTMAKE           ,     2 ,2:08         ,Mann Free Throw 1 of 2 (10 PTS)                                ,                   ,                                                      ,67 - 63   ,-4          ,Tre Mann                ,OKC                       ,                        ,                          ,                 ,
  154 ,FTMAKE           ,     2 ,2:08         ,Mann Free Throw 2 of 2 (11 PTS)                                ,                   ,                                                      ,67 - 64   ,-3          ,Tre Mann                ,OKC                       ,                        ,                          ,                 ,
  155 ,2POINT           ,     2 ,1:56         ,                                                               ,                   ,Wiggins 6' Turnaround Fadeaway (8 PTS)                ,69 - 64   ,-5          ,Andrew Wiggins          ,GSW                       ,                        ,                          ,                 ,
  156 ,2POINTMISS       ,     2 ,1:41         ,MISS Jerome 14' Floating Jump Shot                             ,                   ,                                                      ,          ,            ,Ty Jerome               ,OKC                       ,                        ,                          ,                 ,
  157 ,REBOUND          ,     2 ,1:38         ,                                                               ,                   ,Looney REBOUND (Off:0 Def:6)                          ,          ,            ,Kevon Looney            ,GSW                       ,                        ,                          ,                 ,
  158 ,3POINTMISS       ,     2 ,1:26         ,                                                               ,                   ,MISS Thompson 25' 3PT Jump Shot                       ,          ,            ,Klay Thompson           ,GSW                       ,                        ,                          ,                 ,
  159 ,REBOUND          ,     2 ,1:25         ,Gilgeous-Alexander REBOUND (Off:0 Def:1)                       ,                   ,                                                      ,          ,            ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
  160 ,2POINT           ,     2 ,1:19         ,Gilgeous-Alexander 9' Driving Floating Jump Shot (11 PTS)      ,                   ,                                                      ,69 - 66   ,-3          ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
  161 ,2POINT           ,     2 ,1:04         ,                                                               ,                   ,Poole 11' Driving Floating Jump Shot (16 PTS)         ,71 - 66   ,-5          ,Jordan Poole            ,GSW                       ,                        ,                          ,                 ,
  162 ,TURNOVER         ,     2 ,0:46         ,Gilgeous-Alexander Lost Ball Turnover (P6.T10)                 ,                   ,Thompson STEAL (3 STL)                                ,          ,            ,                        ,                          ,                        ,                          ,                 ,
  163 ,STEAL            ,     2 ,0:46         ,                                                               ,                   ,Thompson STEAL (3 STL)                                ,          ,            ,Klay Thompson           ,GSW                       ,Shai Gilgeous-Alexander ,OKC                       ,                 ,
  164 ,2POINTMISS       ,     2 ,0:41         ,                                                               ,                   ,MISS Green 5' Layup                                   ,          ,            ,Draymond Green          ,GSW                       ,                        ,                          ,                 ,
  165 ,REBOUND          ,     2 ,0:40         ,Bazley REBOUND (Off:2 Def:3)                                   ,                   ,                                                      ,          ,            ,Darius Bazley           ,OKC                       ,                        ,                          ,                 ,
  166 ,FOUL             ,     2 ,0:37         ,                                                               ,                   ,Poole P.FOUL (P1.T5) (J.Capers)                       ,          ,            ,Jordan Poole            ,GSW                       ,Darius Bazley           ,OKC                       ,                 ,
  167 ,FTMAKE           ,     2 ,0:37         ,Bazley Free Throw 1 of 2 (8 PTS)                               ,                   ,                                                      ,71 - 67   ,-4          ,Darius Bazley           ,OKC                       ,                        ,                          ,                 ,
  168 ,FTMAKE           ,     2 ,0:37         ,Bazley Free Throw 2 of 2 (9 PTS)                               ,                   ,                                                      ,71 - 68   ,-3          ,Darius Bazley           ,OKC                       ,                        ,                          ,                 ,
  169 ,2POINTMISS       ,     2 ,0:27         ,                                                               ,                   ,MISS Wiggins 17' Step Back Jump Shot                  ,          ,            ,Andrew Wiggins          ,GSW                       ,                        ,                          ,                 ,
  170 ,REBOUND          ,     2 ,0:24         ,Jerome REBOUND (Off:0 Def:1)                                   ,                   ,                                                      ,          ,            ,Ty Jerome               ,OKC                       ,                        ,                          ,                 ,
  171 ,2POINTMISS       ,     2 ,0:05         ,MISS Gilgeous-Alexander 12' Fadeaway Jumper                    ,                   ,                                                      ,          ,            ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
  172 ,REBOUND          ,     2 ,0:03         ,                                                               ,                   ,Green REBOUND (Off:0 Def:3)                           ,          ,            ,Draymond Green          ,GSW                       ,                        ,                          ,                 ,
  173 ,TURNOVER         ,     2 ,0:01         ,                                                               ,                   ,Green Bad Pass Turnover (P2.T9)                       ,          ,            ,Draymond Green          ,GSW                       ,                        ,                          ,                 ,
  174 ,STEAL            ,     2 ,0:00         ,Gilgeous-Alexander STEAL (1 STL)                               ,                   ,                                                      ,          ,            ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
  175 ,3POINTMISS       ,     2 ,0:00         ,MISS Gilgeous-Alexander 33' 3PT Jump Shot                      ,                   ,                                                      ,          ,            ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
  176 ,2POINT           ,     3 ,11:47        ,                                                               ,                   ,Thompson 5' Cutting Layup Shot (16 PTS)               ,73 - 68   ,-5          ,Klay Thompson           ,GSW                       ,                        ,                          ,                 ,
  177 ,TURNOVER         ,     3 ,11:33        ,Gilgeous-Alexander Out of Bounds - Lost Ball Turnover (P7.T11) ,                   ,                                                      ,          ,            ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
  178 ,3POINT           ,     3 ,11:23        ,                                                               ,                   ,Curry 25' 3PT Jump Shot (18 PTS)                      ,76 - 68   ,-8          ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
  179 ,2POINTMISS       ,     3 ,11:03        ,MISS Giddey 14' Pullup Jump Shot                               ,                   ,                                                      ,          ,            ,Josh Giddey             ,OKC                       ,                        ,                          ,                 ,
  180 ,REBOUND          ,     3 ,11:00        ,                                                               ,                   ,Looney REBOUND (Off:0 Def:7)                          ,          ,            ,Kevon Looney            ,GSW                       ,                        ,                          ,                 ,
  181 ,TURNOVER         ,     3 ,10:53        ,                                                               ,                   ,Green Bad Pass Turnover (P3.T10)                      ,          ,            ,Draymond Green          ,GSW                       ,                        ,                          ,                 ,
  182 ,3POINT           ,     3 ,10:42        ,Mann 26' 3PT Jump Shot (14 PTS)                                ,                   ,                                                      ,76 - 71   ,-5          ,Tre Mann                ,OKC                       ,                        ,                          ,                 ,
  183 ,2POINT           ,     3 ,10:18        ,                                                               ,                   ,Wiggins 2' Driving Layup (10 PTS)                     ,78 - 71   ,-7          ,Andrew Wiggins          ,GSW                       ,                        ,                          ,                 ,
  184 ,FOUL             ,     3 ,10:18        ,                                                               ,                   ,Green S.FOUL (P3.T6) (S.Wall)                         ,          ,            ,Draymond Green          ,GSW                       ,Andrew Wiggins          ,GSW                       ,                 ,
  185 ,FTMISS           ,     3 ,10:18        ,                                                               ,                   ,MISS Wiggins Free Throw 1 of 1                        ,          ,            ,Andrew Wiggins          ,GSW                       ,                        ,                          ,                 ,
  186 ,REBOUND          ,     3 ,10:16        ,Pokusevski REBOUND (Off:0 Def:5)                               ,                   ,                                                      ,          ,            ,Aleksej Pokusevski      ,OKC                       ,                        ,                          ,                 ,
  187 ,3POINTMISS       ,     3 ,10:10        ,MISS Mann 26' 3PT Jump Shot                                    ,                   ,                                                      ,          ,            ,Tre Mann                ,OKC                       ,                        ,                          ,                 ,
  188 ,REBOUND          ,     3 ,10:07        ,                                                               ,                   ,Curry REBOUND (Off:0 Def:1)                           ,          ,            ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
  189 ,3POINT           ,     3 ,9:58         ,                                                               ,                   ,Curry 24' 3PT Jump Shot (21 PTS)                      ,81 - 71   ,-10         ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
  190 ,TIMEOUT          ,     3 ,9:50         ,Thunder Timeout: Regular (Reg.1 Short 0)                       ,                   ,                                                      ,          ,            ,                        ,                          ,                        ,                          ,                 ,
  191 ,2POINTMISS       ,     3 ,9:35         ,MISS Pokusevski 6' Floating Jump Shot                          ,                   ,                                                      ,          ,            ,Aleksej Pokusevski      ,OKC                       ,                        ,                          ,                 ,
  192 ,REBOUND          ,     3 ,9:32         ,                                                               ,                   ,Green REBOUND (Off:0 Def:4)                           ,          ,            ,Draymond Green          ,GSW                       ,                        ,                          ,                 ,
  193 ,2POINT           ,     3 ,9:26         ,                                                               ,                   ,Wiggins 17' Pullup Jump Shot (12 PTS)                 ,83 - 71   ,-12         ,Andrew Wiggins          ,GSW                       ,                        ,                          ,                 ,
  194 ,2POINT           ,     3 ,9:09         ,Gilgeous-Alexander 16' Pullup Jump Shot (13 PTS)               ,                   ,                                                      ,83 - 73   ,-10         ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
  195 ,3POINT           ,     3 ,8:55         ,                                                               ,                   ,Thompson 25' 3PT Jump Shot (19 PTS)                   ,86 - 73   ,-13         ,Klay Thompson           ,GSW                       ,                        ,                          ,                 ,
  196 ,2POINTMISS       ,     3 ,8:38         ,MISS Dort 9' Driving Floating Jump Shot                        ,                   ,                                                      ,          ,            ,Luguentz Dort           ,OKC                       ,                        ,                          ,                 ,
  197 ,REBOUND          ,     3 ,8:36         ,                                                               ,                   ,Looney REBOUND (Off:0 Def:8)                          ,          ,            ,Kevon Looney            ,GSW                       ,                        ,                          ,                 ,
  198 ,2POINT           ,     3 ,8:29         ,                                                               ,                   ,Wiggins 1' Putback Layup (14 PTS)                     ,88 - 73   ,-15         ,Andrew Wiggins          ,GSW                       ,                        ,                          ,                 ,
  199 ,FOUL             ,     3 ,8:29         ,Pokusevski S.FOUL (P1.T5) (M.Lindsay)                          ,                   ,                                                      ,          ,            ,Aleksej Pokusevski      ,OKC                       ,Andrew Wiggins          ,GSW                       ,                 ,
  200 ,FTMAKE           ,     3 ,8:29         ,                                                               ,                   ,Wiggins Free Throw 1 of 1 (15 PTS)                    ,89 - 73   ,-16         ,Andrew Wiggins          ,GSW                       ,                        ,                          ,                 ,
  201 ,FOUL             ,     3 ,8:22         ,                                                               ,                   ,Green P.FOUL (P4.T7) (P.Fraher)                       ,          ,            ,Draymond Green          ,GSW                       ,Shai Gilgeous-Alexander ,OKC                       ,                 ,
  202 ,FTMAKE           ,     3 ,8:22         ,Gilgeous-Alexander Free Throw 1 of 2 (14 PTS)                  ,                   ,                                                      ,89 - 74   ,-15         ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
  203 ,FTMISS           ,     3 ,8:22         ,MISS Gilgeous-Alexander Free Throw 2 of 2                      ,                   ,                                                      ,          ,            ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
  204 ,REBOUND          ,     3 ,8:20         ,                                                               ,                   ,Looney REBOUND (Off:0 Def:9)                          ,          ,            ,Kevon Looney            ,GSW                       ,                        ,                          ,                 ,
  205 ,2POINT           ,     3 ,8:05         ,                                                               ,                   ,Curry 11' Driving Floating Jump Shot (23 PTS)         ,91 - 74   ,-17         ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
  206 ,TURNOVER         ,     3 ,7:55         ,Pokusevski Bad Pass Turnover (P4.T12)                          ,                   ,                                                      ,          ,            ,Aleksej Pokusevski      ,OKC                       ,                        ,                          ,                 ,
  207 ,STEAL            ,     3 ,7:54         ,                                                               ,                   ,Curry STEAL (1 STL)                                   ,          ,            ,Stephen Curry           ,GSW                       ,Aleksej Pokusevski      ,OKC                       ,                 ,
  208 ,3POINT           ,     3 ,7:50         ,                                                               ,                   ,Curry 26' 3PT Jump Shot (26 PTS)                      ,94 - 74   ,-20         ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
  209 ,TIMEOUT          ,     3 ,7:50         ,Thunder Timeout: Regular (Reg.2 Short 0)                       ,                   ,                                                      ,          ,            ,                        ,                          ,                        ,                          ,                 ,
  210 ,SUB              ,     3 ,7:50         ,SUB: Bazley FOR Pokusevski                                     ,                   ,                                                      ,          ,            ,Aleksej Pokusevski      ,OKC                       ,Darius Bazley           ,OKC                       ,                 ,
  211 ,SUB              ,     3 ,7:50         ,SUB: Jerome FOR Mann                                           ,                   ,                                                      ,          ,            ,Tre Mann                ,OKC                       ,Ty Jerome               ,OKC                       ,                 ,
  212 ,3POINT           ,     3 ,7:39         ,Gilgeous-Alexander 24' 3PT Jump Shot (17 PTS)                  ,                   ,                                                      ,94 - 77   ,-17         ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
  213 ,3POINTMISS       ,     3 ,7:25         ,                                                               ,                   ,MISS Curry 27' 3PT Jump Shot                          ,          ,            ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
  214 ,REBOUND          ,     3 ,7:24         ,Giddey REBOUND (Off:0 Def:4)                                   ,                   ,                                                      ,          ,            ,Josh Giddey             ,OKC                       ,                        ,                          ,                 ,
  215 ,3POINT           ,     3 ,7:14         ,Jerome 25' 3PT Jump Shot (13 PTS)                              ,                   ,                                                      ,94 - 80   ,-14         ,Ty Jerome               ,OKC                       ,                        ,                          ,                 ,
  216 ,FOUL             ,     3 ,7:02         ,                                                               ,                   ,Thompson S.FOUL (P1.T8) (M.Lindsay)                   ,          ,            ,Klay Thompson           ,GSW                       ,Luguentz Dort           ,OKC                       ,                 ,
  217 ,FTMAKE           ,     3 ,7:02         ,Dort Free Throw 1 of 2 (11 PTS)                                ,                   ,                                                      ,94 - 81   ,-13         ,Luguentz Dort           ,OKC                       ,                        ,                          ,                 ,
  218 ,FTMAKE           ,     3 ,7:02         ,Dort Free Throw 2 of 2 (12 PTS)                                ,                   ,                                                      ,94 - 82   ,-12         ,Luguentz Dort           ,OKC                       ,                        ,                          ,                 ,
  219 ,3POINTMISS       ,     3 ,6:47         ,                                                               ,                   ,MISS Green 25' 3PT Jump Shot                          ,          ,            ,Draymond Green          ,GSW                       ,                        ,                          ,                 ,
  220 ,REBOUND          ,     3 ,6:45         ,                                                               ,                   ,Team Rebound                                          ,          ,            ,                        ,                          ,                        ,                          ,                 ,
  221 ,2POINT           ,     3 ,6:30         ,                                                               ,                   ,Thompson 8' Floating Jump Shot (21 PTS)               ,96 - 82   ,-14         ,Klay Thompson           ,GSW                       ,                        ,                          ,                 ,
  222 ,2POINT           ,     3 ,6:18         ,Gilgeous-Alexander 17' Pullup Jump Shot (19 PTS)               ,                   ,                                                      ,96 - 84   ,-12         ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
  223 ,FOUL             ,     3 ,6:07         ,                                                               ,                   ,Curry P.FOUL (P1.T9) (P.Fraher)                       ,          ,            ,Stephen Curry           ,GSW                       ,Luguentz Dort           ,OKC                       ,                 ,
  224 ,FTMAKE           ,     3 ,6:07         ,Dort Free Throw 1 of 2 (13 PTS)                                ,                   ,                                                      ,96 - 85   ,-11         ,Luguentz Dort           ,OKC                       ,                        ,                          ,                 ,
  225 ,FTMAKE           ,     3 ,6:07         ,Dort Free Throw 2 of 2 (14 PTS)                                ,                   ,                                                      ,96 - 86   ,-10         ,Luguentz Dort           ,OKC                       ,                        ,                          ,                 ,
  226 ,2POINT           ,     3 ,5:56         ,                                                               ,                   ,Curry 4' Driving Layup (28 PTS)                       ,98 - 86   ,-12         ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
  227 ,TURNOVER         ,     3 ,5:43         ,Gilgeous-Alexander Lost Ball Turnover (P8.T13)                 ,                   ,Green STEAL (3 STL)                                   ,          ,            ,Shai Gilgeous-Alexander ,OKC                       ,Draymond Green          ,GSW                       ,                 ,
  228 ,3POINT           ,     3 ,5:30         ,                                                               ,                   ,Thompson 26' 3PT Jump Shot (24 PTS)                   ,101 - 86  ,-15         ,Klay Thompson           ,GSW                       ,                        ,                          ,                 ,
  229 ,3POINT           ,     3 ,5:19         ,Giddey 24' 3PT Jump Shot (15 PTS)                              ,                   ,                                                      ,101 - 89  ,-12         ,Josh Giddey             ,OKC                       ,                        ,                          ,                 ,
  230 ,2POINT           ,     3 ,5:02         ,                                                               ,                   ,Green 5' Driving Layup (7 PTS)                        ,103 - 89  ,-14         ,Draymond Green          ,GSW                       ,                        ,                          ,                 ,
  231 ,FOUL             ,     3 ,5:02         ,Bazley S.FOUL (P1.T6) (J.Capers)                               ,                   ,                                                      ,          ,            ,Darius Bazley           ,OKC                       ,Draymond Green          ,GSW                       ,                 ,
  232 ,FTMAKE           ,     3 ,5:02         ,                                                               ,                   ,Green Free Throw 1 of 1 (8 PTS)                       ,104 - 89  ,-15         ,Draymond Green          ,GSW                       ,                        ,                          ,                 ,
  233 ,3POINT           ,     3 ,4:53         ,Jerome 28' 3PT Jump Shot (16 PTS)                              ,                   ,                                                      ,104 - 92  ,-12         ,Ty Jerome               ,OKC                       ,                        ,                          ,                 ,
  234 ,2POINT           ,     3 ,4:35         ,                                                               ,                   ,Curry 7' Floating Jump Shot (30 PTS)                  ,106 - 92  ,-14         ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
  235 ,3POINT           ,     3 ,4:27         ,Gilgeous-Alexander 25' 3PT Jump Shot (22 PTS)                  ,                   ,                                                      ,106 - 95  ,-11         ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
  236 ,TURNOVER         ,     3 ,4:14         ,                                                               ,                   ,Green Bad Pass Turnover (P4.T11)                      ,          ,            ,Draymond Green          ,GSW                       ,                        ,                          ,                 ,
  237 ,3POINT           ,     3 ,4:04         ,Giddey 27' 3PT Jump Shot (18 PTS)                              ,                   ,                                                      ,106 - 98  ,-8          ,Josh Giddey             ,OKC                       ,                        ,                          ,                 ,
  238 ,TIMEOUT          ,     3 ,3:55         ,Warriors Timeout: Regular (Reg.3 Short 0)                      ,                   ,                                                      ,          ,            ,                        ,                          ,                        ,                          ,                 ,
  239 ,3POINTMISS       ,     3 ,3:41         ,                                                               ,                   ,MISS Thompson 26' 3PT Jump Shot                       ,          ,            ,Klay Thompson           ,GSW                       ,                        ,                          ,                 ,
  240 ,REBOUND          ,     3 ,3:39         ,Gilgeous-Alexander REBOUND (Off:0 Def:2)                       ,                   ,                                                      ,          ,            ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
  241 ,2POINT           ,     3 ,3:31         ,Giddey 7' Driving Floating Bank Jump Shot (20 PTS)             ,                   ,                                                      ,106 - 100 ,-6          ,Josh Giddey             ,OKC                       ,                        ,                          ,                 ,
  242 ,FOUL             ,     3 ,3:20         ,                                                               ,                   ,Wiggins OFF.Foul (P2.T10) (J.Capers)                  ,          ,            ,Andrew Wiggins          ,GSW                       ,Darius Bazley           ,OKC                       ,                 ,
  243 ,TURNOVER         ,     3 ,3:20         ,                                                               ,                   ,Wiggins Turnover (P1.T12)                             ,          ,            ,Andrew Wiggins          ,GSW                       ,                        ,                          ,                 ,
  244 ,2POINT           ,     3 ,3:12         ,Dort 5' Driving Layup (16 PTS)                                 ,                   ,                                                      ,106 - 102 ,-4          ,Luguentz Dort           ,OKC                       ,                        ,                          ,                 ,
  245 ,TIMEOUT          ,     3 ,3:08         ,Warriors Timeout: Regular (Reg.4 Short 0)                      ,                   ,                                                      ,          ,            ,                        ,                          ,                        ,                          ,                 ,
  246 ,3POINT           ,     3 ,2:59         ,                                                               ,                   ,Curry 27' 3PT Jump Shot (33 PTS)                      ,109 - 102 ,-7          ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
  247 ,2POINT           ,     3 ,2:48         ,Gilgeous-Alexander 3' Driving Layup (24 PTS)                   ,                   ,                                                      ,109 - 104 ,-5          ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
  248 ,2POINT           ,     3 ,2:35         ,                                                               ,                   ,Green 4' Cutting Layup Shot (10 PTS)                  ,111 - 104 ,-7          ,Draymond Green          ,GSW                       ,                        ,                          ,                 ,
  249 ,FOUL             ,     3 ,2:27         ,                                                               ,                   ,Thompson S.FOUL (P2.T11) (P.Fraher)                   ,          ,            ,Klay Thompson           ,GSW                       ,Shai Gilgeous-Alexander ,OKC                       ,                 ,
  250 ,FTMAKE           ,     3 ,2:27         ,Gilgeous-Alexander Free Throw 1 of 2 (25 PTS)                  ,                   ,                                                      ,111 - 105 ,-6          ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
  251 ,FTMAKE           ,     3 ,2:27         ,Gilgeous-Alexander Free Throw 2 of 2 (26 PTS)                  ,                   ,                                                      ,111 - 106 ,-5          ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
  252 ,3POINT           ,     3 ,2:13         ,                                                               ,                   ,Curry 29' 3PT Step Back Jump Shot (36 PTS)            ,114 - 106 ,-8          ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
  253 ,3POINTMISS       ,     3 ,2:04         ,MISS Giddey 26' 3PT Jump Shot                                  ,                   ,                                                      ,          ,            ,Josh Giddey             ,OKC                       ,                        ,                          ,                 ,
  254 ,REBOUND          ,     3 ,2:00         ,                                                               ,                   ,Looney REBOUND (Off:0 Def:10)                         ,          ,            ,Kevon Looney            ,GSW                       ,                        ,                          ,                 ,
  255 ,3POINTMISS       ,     3 ,1:39         ,                                                               ,                   ,MISS Green 25' 3PT Jump Shot                          ,          ,            ,Draymond Green          ,GSW                       ,                        ,                          ,                 ,
  256 ,REBOUND          ,     3 ,1:34         ,                                                               ,                   ,Team Rebound                                          ,          ,            ,                        ,                          ,                        ,                          ,                 ,
  257 ,FOUL             ,     3 ,1:15         ,                                                               ,                   ,Wiggins S.FOUL (P2.T12) (S.Wall)                      ,          ,            ,Andrew Wiggins          ,GSW                       ,Ty Jerome               ,OKC                       ,                 ,
  258 ,FTMAKE           ,     3 ,1:15         ,Jerome Free Throw 1 of 2 (17 PTS)                              ,                   ,                                                      ,114 - 107 ,-7          ,Ty Jerome               ,OKC                       ,                        ,                          ,                 ,
  259 ,FTMAKE           ,     3 ,1:15         ,Jerome Free Throw 2 of 2 (18 PTS)                              ,                   ,                                                      ,114 - 108 ,-6          ,Ty Jerome               ,OKC                       ,                        ,                          ,                 ,
  260 ,TURNOVER         ,     3 ,1:04         ,                                                               ,                   ,Curry Bad Pass Turnover (P1.T13)                      ,          ,            ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
  261 ,STEAL            ,     3 ,1:03         ,Gilgeous-Alexander STEAL (2 STL)                               ,                   ,                                                      ,          ,            ,Shai Gilgeous-Alexander ,OKC                       ,Stephen Curry           ,GSW                       ,                 ,
  262 ,2POINT           ,     3 ,1:00         ,Gilgeous-Alexander 2' Driving Layup (28 PTS)                   ,                   ,                                                      ,114 - 110 ,-4          ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
  263 ,FOUL             ,     3 ,0:53         ,Dort P.FOUL (P3.T7) (J.Capers)                                 ,                   ,                                                      ,          ,            ,Luguentz Dort           ,OKC                       ,Stephen Curry           ,GSW                       ,                 ,
  264 ,FTMAKE           ,     3 ,0:53         ,                                                               ,                   ,Curry Free Throw 1 of 2 (37 PTS)                      ,115 - 110 ,-5          ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
  265 ,FTMAKE           ,     3 ,0:53         ,                                                               ,                   ,Curry Free Throw 2 of 2 (38 PTS)                      ,116 - 110 ,-6          ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
  266 ,TURNOVER         ,     3 ,0:46         ,Gilgeous-Alexander Bad Pass Turnover (P9.T15)                  ,                   ,Green STEAL (4 STL)                                   ,          ,            ,Shai Gilgeous-Alexander ,OKC                       ,Draymond Green          ,GSW                       ,                 ,
  267 ,2POINT           ,     3 ,0:41         ,                                                               ,                   ,Green 1' Cutting Dunk Shot (12 PTS)                   ,118 - 110 ,-8          ,Draymond Green          ,GSW                       ,                        ,                          ,                 ,
  268 ,FOUL             ,     3 ,0:34         ,                                                               ,                   ,Thompson P.FOUL (P3.T13) (M.Lindsay)                  ,          ,            ,Klay Thompson           ,GSW                       ,Shai Gilgeous-Alexander ,OKC                       ,                 ,
